Resource ID,Dataset Name,Description,Dataset URL,Attribution,Dataset Type,Update Frequency,Department Name,Program Name,Spatial Information,Strategic Area,Dataset Updated Date,Dataset Created Date,Metadata Last Updated Date,Data Last Updated Date,Publication Date,Download Count,Page Views Last Week,Page Views Last Month,Page Views Total,Row Count,Cover Image URL,Automation Method,Automation Method Other,Owner Display Name,Tags,Is Public
9hcr-2qhe,Barton Skyway,"Between 2020 and 2023, protected bikeways and intersection improvements were installed along Barton Skyway. As of Spring 2024, the Austin Transportation and Public Works Department (TPW) is considering changes to these previously installed improvements.",https://data.austintexas.gov/d/9hcr-2qhe,"City of Austin, Texas - data.austintexas.gov",story,As Needed,Transportation and Public Works,,,,09/25/2024 01:36:05 PM,06/17/2020 03:16:06 PM,04/08/2025 11:30:49 AM,09/25/2024 01:36:05 PM,06/17/2020 03:35:04 PM,0,1,3,"2,090",,,,,TPW PIO Data Owners (Transportation Public Works),,true
sa9q-m9wz,Transportation Safety Projects,"Intersection projects are comprehensive improvements that construct or enhance existing traffic lanes, traffic signals, markings, sidewalks, shared-use paths, and other infrastructure with the goal of reducing crashes for all forms of transportation.",https://data.austintexas.gov/d/sa9q-m9wz,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/03/2024 02:16:26 PM,07/05/2022 10:13:11 AM,04/08/2025 11:30:50 AM,12/03/2024 02:16:26 PM,07/15/2022 02:18:52 PM,0,1,5,204,,,,,TPW PIO Data Owners (Transportation Public Works),,true
smw6-wzhe,Transportation Safety Projects,These projects provide comprehensive and coordinated approaches to making Austin’s streets safer by delivering critical safety improvements at high crash locations citywide.,https://data.austintexas.gov/d/smw6-wzhe,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,10/09/2024 06:18:32 AM,06/01/2022 01:27:01 PM,04/08/2025 11:30:54 AM,10/09/2024 06:18:32 AM,06/29/2022 10:28:56 AM,0,5,26,286,,,,,TPW PIO Data Owners (Transportation Public Works),,true
n53d-7xdj,Circle S Road Substandard Street Project,The City of Austin evaluated Circle S Road as part of the 2016 Mobility Bond. This preliminary engineering project evaluated road conditions for possible future design and construction opportunities on Circle S Road between Eberhart Lane and Foremost Drive.,https://data.austintexas.gov/d/n53d-7xdj,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,10/20/2023 11:32:22 AM,01/18/2018 01:47:45 PM,04/08/2025 11:30:52 AM,10/20/2023 11:32:22 AM,01/18/2018 01:47:45 PM,0,1,2,"3,958",,,,,TPW PIO Data Owners (Transportation Public Works),,true
qd73-bsdg,Austin MetroBike Kiosk Locations,"This dataset contains information about the location of the Austin MetroBike bicycle rental kiosks.

You may also be interested in Austin MetroBike trip data, available here: https://data.austintexas.gov/dataset/Austin-MetroBike-Trip-Data/tyfh-5r8s/data


More information about Austin B-Cycle is available here:
http://austinbcycle.com/",https://data.austintexas.gov/d/qd73-bsdg,"City of Austin, Texas - data.austintexas.gov",dataset,As needed,Transportation and Public Works,Data and Technology Services Division,,,04/08/2025 11:30:57 AM,01/23/2017 12:30:56 PM,04/08/2025 11:30:57 AM,07/02/2024 02:05:39 AM,02/03/2021 10:42:45 PM,"23,571",0,7,"1,619",102,,REST API,,transportation.data@austintexas.gov,"bicycles, metrobike, mobility, transit, transportation",true
qnpj-zrb9,Bluetooth Travel Sensors - Individual Address Files (IAFs),"This dataset contains information about Bluetooth devices detected by our Bluetooth travel sensors. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with the time and location the device was detected. These records alone are not traffic data but can be post-processed to measure the movement of detected devices through the roadway network


How does the City of Austin use the Bluetooth travel sensor data?
The data enables transportation engineers to better understand short and long-term trends in Austin’s traffic patterns, supporting decisions about systems planning and traffic signal timing.

What information does the data contain?
The sensor data is available in three datasets:
    
Individual Address Records ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Individual-Addresses/qnpj-zrb9/data )
Each row in this dataset represents a Bluetooth device that was detected by one of our sensors. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with the time and location the device was detected. These records alone are not traffic data but can be post-processed to measure the movement of detected devices through the roadway network

Individual Traffic Matches ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Individual-Traffic-Matche/x44q-icha/data )
Each row in this dataset represents one Bluetooth enabled device that detected at two locations in the roadway network. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with contain information about origin and destination points at which the device was detected, as well the time, date, and distance traveled. 

Traffic Summary Records ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Match-Summary-Records/v7zg-5jg9 )
The traffic summary records contain aggregate travel time and speed summaries based on the individual traffic match records. Each  row in the dataset summarizes average travel time and speed along a sensor-equipped roadway segment in 15 minute intervals. 

Does this data contain personally identifiable information?
No. The Media Access Control (MAC) addresses in these datasets are randomly generated.",https://data.austintexas.gov/d/qnpj-zrb9,"City of Austin, Texas - data.austintexas.gov",dataset,As needed,Transportation and Public Works,Arterial Management Division,,,04/08/2025 11:30:58 AM,02/23/2017 05:31:32 PM,04/08/2025 11:30:58 AM,12/22/2021 07:20:57 AM,10/05/2017 09:27:44 AM,562,0,5,"2,334","412,529,530",,Manual,,transportation.data@austintexas.gov,"bluetooth, mobility, traffic, transit, transportation, travel sensors, travel time",true
x44q-icha,Bluetooth Travel Sensors - Individual Traffic Match Files (ITMF),"For information about the City of Austin's Bluetooth travel sensor data, visit our documentation page:
https://github.com/cityofaustin/hack-the-traffic/tree/master/docs

Each row in this dataset represents one Bluetooth enabled device that detected at two locations in the City of Austin's Bluetooth sensor network. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with contain information about origin and destination points at which the device was detected, as well the time, date, and distance traveled.

How does the City of Austin use the Bluetooth travel sensor data?
The data enables transportation engineers to better understand short and long-term trends in Austin’s traffic patterns, supporting decisions about systems planning and traffic signal timing.

What information does the data contain?
The sensor data is available in three datasets:

Individual Address Records ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Individual-Addresses/qnpj-zrb9/data )
Each row in this dataset represents a Bluetooth device that was detected by one of our sensors. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with the time and location the device was detected. These records alone are not traffic data but can be post-processed to measure the movement of detected devices through the roadway network

Individual Traffic Matches ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Individual-Traffic-Matche/x44q-icha/data )
Each row in this dataset represents one Bluetooth enabled device that detected at two locations in the roadway network. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with contain information about origin and destination points at which the device was detected, as well the time, date, and distance traveled.

Traffic Summary Records ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Match-Summary-Records/v7zg-5jg9 )
The traffic summary records contain aggregate travel time and speed summaries based on the individual traffic match records. Each row in the dataset summarizes average travel time and speed along a sensor-equipped roadway segment in 15 minute intervals.

Does this data contain personally identifiable information?
No. The Media Access Control (MAC) addresses in these datasets are randomly generated.",https://data.austintexas.gov/d/x44q-icha,"City of Austin, Texas - data.austintexas.gov",dataset,As needed,Transportation and Public Works,Arterial Management Division,,,04/08/2025 11:31:00 AM,02/23/2017 08:27:50 PM,04/08/2025 11:31:00 AM,12/22/2021 07:14:26 AM,03/01/2017 02:27:44 PM,642,1,6,"2,148","103,326,732",,Manual,,transportation.data@austintexas.gov,"bluetooth, mobility, traffic, transit, transportation, travel sensors, travel time",true
nz3f-4px2,East Rundberg Lane,Landing page for East Rundberg Lane mobility project,https://data.austintexas.gov/d/nz3f-4px2,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/27/2025 01:52:40 PM,04/16/2018 03:01:21 PM,04/08/2025 11:31:01 AM,03/27/2025 01:52:40 PM,04/16/2018 03:01:21 PM,0,2,5,"2,050",,,,,TPW Legacy CPO (Transportation Public Works),,true
geug-yq5e,Wickersham Lane,Landing page for Wiskersham Lane mobility project,https://data.austintexas.gov/d/geug-yq5e,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,02/14/2023 01:51:45 PM,05/24/2019 09:48:09 AM,04/08/2025 11:31:03 AM,02/14/2023 01:51:45 PM,05/24/2019 09:50:02 AM,0,1,3,"3,070",,,,,TPW Legacy CPO (Transportation Public Works),,true
mcx3-6wfv,2018 Bond,This is the landing page for the 2018 Mobility Bond,https://data.austintexas.gov/d/mcx3-6wfv,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/19/2023 01:47:06 PM,03/22/2021 12:01:31 PM,04/08/2025 11:31:06 AM,12/19/2023 01:47:06 PM,04/22/2021 02:24:24 PM,0,1,3,59,,,,,TPW Legacy CPO (Transportation Public Works),,true
qpuw-8eeb,Traffic Detectors,"This dataset contains information about traffic detectors deployed at signalized intersections in the City of Austin, Texas. The data is maintained by the Arterial Management Division of the City of Austin Transportation & Public Works Department.",https://data.austintexas.gov/d/qpuw-8eeb,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Arterial Management Division,,,04/10/2025 09:11:00 AM,07/21/2017 01:41:32 PM,04/08/2025 11:31:08 AM,04/10/2025 09:11:00 AM,04/15/2021 02:29:52 PM,"2,582",0,11,"1,485","5,391",,REST API,,transportation.data@austintexas.gov,"bicycles, detection, detectors, loops, mobility, pedestrians, safety, traffic, transportation, vehicles",true
3es2-p358,TRANSPORTATION.pw_current_yr_service_plan,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN>This is the street preventative maintenance surface treatments for the current fiscal year. Treatments typically include: overlay, seal coat, slurry seal, fog seal, crack sealing, and microsurfacing.</SPAN></P></DIV></DIV></DIV>",https://data.austintexas.gov/d/3es2-p358,"City of Austin, Texas - data.austintexas.gov",map,As needed,Transportation and Public Works,,,,04/10/2025 05:23:35 PM,11/20/2014 02:39:48 PM,04/10/2025 05:23:35 PM,07/18/2024 04:13:43 AM,09/18/2024 10:35:51 AM,788,1,4,"3,320",,,,,TPW Legacy Public Works Assets,"infrastructure management, mobility, pavement, public works, service plan, streets, transportation",true
f6qu-b7zb,Traffic and Pedestrian Signal Requests,"The dataset contains the ranking and status of traffic and pedestrian signal requests in Austin, TX.",https://data.austintexas.gov/d/f6qu-b7zb,"City of Austin, Texas - data.austintexas.gov",dataset,As needed,Transportation and Public Works,Street and Bridge Operations,,,04/08/2025 11:31:11 AM,02/03/2017 11:22:27 AM,04/08/2025 11:31:11 AM,01/17/2023 11:37:50 AM,08/18/2017 12:50:57 AM,"2,693",1,7,"1,844",942,,REST API,,transportation.data@austintexas.gov,"mobility, pedestrians, phbs, safety, traffic, traffic lights, traffic signals, transit, transportation",true
uwbq-ycek,TRANSPORTATION_bicycle_facilities,"The Bike Facilities data will serve as the authoritative data for any bicycle infrastructure-related reference and analysis. The Bike Facilities data includes all existing facilities, their level of comfort, as well as recommended facilities and whether they belong to the All Ages and Abilities Network. The data is created from an export of the Comprehensive Transportation Network, and it can join back to it through the Bike Facility ID field.",https://data.austintexas.gov/d/uwbq-ycek,"City of Austin, Texas - data.austintexas.gov",map,As needed,Transportation and Public Works,,,,04/10/2025 05:22:43 PM,06/01/2020 10:32:07 AM,04/10/2025 05:22:39 PM,04/10/2025 05:22:43 PM,06/01/2020 10:32:07 AM,106,1,2,106,,,Manual,,transportation.data@austintexas.gov,"agoltosocrata, austin, bicycle, bicycle master plan, bike, bike lanes, bike plan, cycling, data mart, dm, mobility, neighborhood connectivity, public works, recommended facilities, transit, transportation",true
jju4-ymex,East Braker Lane Extension,"East Braker Lane will extend from its current endpoint at Dawes Place approximately 0.75 miles to Samsung Boulevard. Once complete, the project is expected to reduce congestion on East Parmer Lane and future Safe Routes to School improvements to Taebaek Drive.",https://data.austintexas.gov/d/jju4-ymex,City of Austin Texas - data.austintexas.gov,story,As needed,Transportation and Public Works,,,,11/13/2024 07:48:24 AM,12/01/2023 03:29:25 PM,04/08/2025 11:31:12 AM,11/13/2024 07:48:24 AM,12/04/2023 11:05:46 AM,0,7,34,966,,,,,TPW PIO Data Owners (Transportation Public Works),,true
v7zg-5jg9,Bluetooth Travel Sensors -Traffic Match Summary Records (TMSR),"View the Complete Dataset documentation on Github:
https://github.com/cityofaustin/hack-the-traffic/tree/master/docs

This dataset contains aggregate travel time and speed summaries based on the individual traffic match records from the City of Austin's Bluetooth travel sensors.. Each row in the dataset summarizes average travel time and speed along a sensor-equipped roadway segment in 15 minute intervals.


How does the City of Austin use the Bluetooth travel sensor data?
The data enables transportation engineers to better understand short and long-term trends in Austin’s traffic patterns, supporting decisions about systems planning and traffic signal timing.

What information does the data contain?
The sensor data is available in three datasets:
    
Individual Address Records ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Individual-Addresses/qnpj-zrb9/data )
Each row in this dataset represents a Bluetooth device that was detected by one of our sensors. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with the time and location the device was detected. These records alone are not traffic data but can be post-processed to measure the movement of detected devices through the roadway network

Individual Traffic Matches ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Individual-Traffic-Matche/x44q-icha/data )
Each row in this dataset represents one Bluetooth enabled device that detected at two locations in the roadway network. Each record contains a detected device’s anonymized Media Access Control (MAC) address along with contain information about origin and destination points at which the device was detected, as well the time, date, and distance traveled. 

Traffic Summary Records ( https://data.austintexas.gov/dataset/Bluetooth-Travel-Sensors-Match-Summary-Records/v7zg-5jg9 )
The traffic summary records contain aggregate travel time and speed summaries based on the individual traffic match records. Each  row in the dataset summarizes average travel time and speed along a sensor-equipped roadway segment in 15 minute intervals. 

Does this data contain personally identifiable information?
No. The Media Access Control (MAC) addresses in these datasets are randomly generated.",https://data.austintexas.gov/d/v7zg-5jg9,"City of Austin, Texas - data.austintexas.gov",dataset,As needed,Transportation and Public Works,Arterial Management Division,,,04/08/2025 11:31:14 AM,02/27/2017 12:57:13 PM,04/08/2025 11:31:14 AM,12/22/2021 07:15:05 AM,02/28/2017 10:14:49 AM,553,0,6,"1,831","61,870,383",,Manual,,transportation.data@austintexas.gov,"bluetooth, mobility, traffic, transit, transportation, travel sensors, travel time",true
7dpc-zeui,Bikeways Program,"Voter-approved mobility bonds in 2016 and 2020 dedicated $60 million for bikeways projects, including separated and/or protected bicycle facilities, bicycle detection and signal equipment, and other on-street bicycle facilities, such as bike lanes. Bikeways funded through the bond program have a transportation and mobility purpose.",https://data.austintexas.gov/d/7dpc-zeui,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/10/2025 03:07:26 PM,10/16/2019 02:17:57 PM,04/08/2025 11:31:16 AM,03/10/2025 03:07:26 PM,11/20/2020 10:41:25 AM,0,7,31,638,,,,,TPW PIO Data Owners (Transportation Public Works),,true
wjrc-jie6,Colony Loop Drive,Landing page for the Colony Loop Drive mobility project,https://data.austintexas.gov/d/wjrc-jie6,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/09/2020 01:23:40 PM,06/27/2018 03:30:39 PM,04/08/2025 11:31:18 AM,12/09/2020 01:23:40 PM,07/09/2018 02:38:11 PM,0,1,3,"2,199",,,,,TPW Legacy CPO (Transportation Public Works),,true
g3i2-3b7e,Safe Routes to Gorzycki Middle and Mills Elementary Schools,The City of Austin is moving forward with construction of mobility and safety improvements designed to help students walk and bike to Gorzycki Middle School and Mills Elementary School and support safer access for everyone to nearby neighborhood destinations.,https://data.austintexas.gov/d/g3i2-3b7e,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/28/2025 07:12:04 PM,11/22/2021 01:21:54 PM,04/08/2025 11:31:20 AM,03/28/2025 07:12:04 PM,01/07/2022 10:40:01 AM,0,3,42,140,,,,,TPW PIO Data Owners (Transportation Public Works),,true
quqb-4mss,Speed Management Program,The Speed Management Program works to improve safety and enhance the livability of Austin streets through context-appropriate speed reduction strategies.,https://data.austintexas.gov/d/quqb-4mss,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/23/2024 10:20:37 AM,12/15/2022 10:47:32 AM,04/08/2025 11:31:23 AM,12/23/2024 10:20:37 AM,12/15/2022 12:29:55 PM,0,1,4,139,,,,,TPW PIO Data Owners (Transportation Public Works),,true
qx6w-zu46,Far West / North Hills,"The Austin Transportation and Public Works Department is developing safer routes to Doss Elementary and Murchison Middle Schools, as well as connections to Beverly S. Sheffield Northwest District Park and other destinations.",https://data.austintexas.gov/d/qx6w-zu46,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,08/07/2024 02:50:15 PM,05/10/2021 05:22:25 PM,04/08/2025 11:31:24 AM,08/07/2024 02:50:15 PM,05/10/2021 05:25:27 PM,0,1,4,96,,,,,TPW PIO Data Owners (Transportation Public Works),,true
qq9i-judt,District 10 Safe Routes Improvement Projects,"Through the 2016 and 2018 Mobility Bonds, the City of Austin's Safe Routes to School Program is developing projects identified in the District 10 Infrastructure Report to help students walk and bike to school.",https://data.austintexas.gov/d/qq9i-judt,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Safe Routes to School,,Mobility,03/03/2022 01:17:05 PM,04/23/2019 01:24:37 PM,04/08/2025 11:31:26 AM,03/03/2022 01:17:05 PM,04/25/2019 10:37:14 AM,0,1,3,"2,159",,,,,TPW Safe Routes to School Data Owners,"mobility bonds, safe routes",true
rtsu-m38y,West Rundberg Lane,Landing page for the West Rundberg Lane mobility project,https://data.austintexas.gov/d/rtsu-m38y,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/27/2025 01:51:07 PM,05/30/2018 11:22:27 AM,04/08/2025 11:31:27 AM,03/27/2025 01:51:07 PM,05/30/2018 11:22:27 AM,0,1,5,"1,719",,,,,TPW Legacy CPO (Transportation Public Works),,true
rern-qc7b,Bull Creek Road,"The City of Austin is bringing sidewalk, bikeway and intersection safety improvements to people living and traveling along Bull Creek Road from Jefferson to 39th streets and 45th Street to Hancock Drive.",https://data.austintexas.gov/d/rern-qc7b,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/18/2024 03:46:21 PM,12/09/2022 02:42:03 PM,04/08/2025 11:31:29 AM,12/18/2024 03:46:21 PM,12/16/2022 02:32:42 PM,0,1,3,117,,,,,TPW PIO Data Owners (Transportation Public Works),,true
37n8-iquw,Shoal Creek Trail Connectivity Gaps,"City of Austin staff from the Transportation and Public Works (TPW) and  Parks and Recreation  departments are partnering to address the last major gaps in the  Shoal Creek Trail  between Lady Bird Lake and US 183, located between West 24th Street and West 34th Street.",https://data.austintexas.gov/d/37n8-iquw,"City of Austin, Texas - data.austintexas.gov",story,As Needed,Transportation and Public Works,,,,10/23/2024 01:23:45 PM,08/12/2021 02:54:31 PM,04/08/2025 11:31:31 AM,10/23/2024 01:23:45 PM,08/12/2021 02:58:39 PM,0,1,5,74,,,,,TPW PIO Data Owners (Transportation Public Works),,true
xrmd-qcq9,Protected Streets,Protected Streets,https://data.austintexas.gov/d/xrmd-qcq9,"City of Austin, Texas - data.austintexas.gov",href,Not updated/Historical,Transportation and Public Works,,,,04/08/2025 11:31:33 AM,06/03/2016 12:49:22 PM,04/08/2025 11:31:33 AM,06/03/2016 12:49:22 PM,06/03/2016 12:50:31 PM,0,1,4,"1,181",,,,,TPW Legacy Public Works Assets,"austin, datamart, data mart, dm, mobility, protected streets, roadways, street map, streets, transit, transportation",true
rzwg-fyv8,Transportation & Public Works Data & Tech Services Issues,"This is a dataset of Github issues managed by the Austin Transportation & Public Works' Data & Technology Services team. We publish this data primarily so that it can be used as a data source for reporting purposes. For more information about our team, visit our website:
https://austinmobility.io/about/",https://data.austintexas.gov/d/rzwg-fyv8,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Data and Technology Services Division,,,04/10/2025 10:07:06 PM,09/09/2019 08:21:03 AM,04/08/2025 11:31:35 AM,04/10/2025 10:07:06 PM,07/03/2024 03:40:23 PM,"17,007",5,26,409,"21,667",,REST API,,transportation.data@austintexas.gov,,true
kfe9-st9c,Austin Bicycle Facilities,"This data is a representation of the existing bicycle facilities and includes those facilities recommended in the 2009 Bicycle Master Plan.

Related: https://data.austintexas.gov/Transportation-and-Mobility/TRANSPORTATION_bicycle_facilities/uwbq-ycek/data",https://data.austintexas.gov/d/kfe9-st9c,"City of Austin, Texas - data.austintexas.gov",href,As needed,Transportation and Public Works,Data and Technology Services Division,,,04/08/2025 11:31:37 AM,06/03/2016 12:19:06 PM,04/08/2025 11:31:37 AM,06/03/2016 12:19:06 PM,06/03/2016 12:20:04 PM,0,1,3,"1,565",,,Manual,,transportation.data@austintexas.gov,"austin, bicycle master plan, bike, bike lanes, bike plan, cycling, datamart, data mart, dm, mobility, neighborhood connectivity, public works, recommended facilities, transit, transportation",true
xecs-rpy9,Austin Crash Report Data - Crash Victim Demographic Records,"This dataset contains crash victim records for crashes which have occurred in Austin, TX in the last ten years. It is one of two datasets which power our Vision Zero Viewer dashboard, available here: https://visionzero.austin.gov/viewer.

Crash data may take several weeks to be submitted, reviewed, and finalized for inclusion in this dataset. To provide the most accurate information as possible, we only provide crash data as recent as two weeks old. Please also note that some crash records may take even longer to appear in this dataset, depending on the circumstances of the crash and the ensuing law enforcement investigation.

Crash data is obtained from the Texas Department of Transportation (TxDOT) Crash Record Information System (CRIS) database, which is populated by reports submitted by Texas Peace Officers throughout the state, including Austin Police Department (APD).

Please note that the data and information on this website is for informational purposes only. While we seek to provide accurate information, please note that errors may be present and information presented may not be complete.",https://data.austintexas.gov/d/xecs-rpy9,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Vision Zero,,,04/10/2025 04:05:09 AM,11/04/2019 03:06:15 PM,04/08/2025 11:31:39 AM,04/10/2025 04:05:09 AM,08/24/2024 11:03:07 AM,340,1,7,560,"8,792",,Manual,,transportation.data@austintexas.gov,"crash, vision zero",true
g8w2-8uap,Traffic Signal Re-Timing,"This dataset reports the progress of the Austin Transportation Department's Annual Signal Timing Program. Traffic signal engineers re-time approximately 1/3 of the city’s 1,000+ signals each year, with the goal of ensuring signals are timed for optimum safety and performance.

This data powers our Signal Re-timing dashboard, available here:
https://data.mobility.austin.gov/signal-timing

You may also be interested in our dataset of traffic signals by re-timing corridor, available here:
https://data.austintexas.gov/Transportation-and-Mobility/Synchronized-Traffic-Signal-Corridors/efct-8fs9",https://data.austintexas.gov/d/g8w2-8uap,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Arterial Management Division,,,04/08/2025 11:31:40 AM,03/09/2017 09:00:18 PM,04/08/2025 11:31:40 AM,07/20/2023 03:31:36 AM,12/03/2018 02:43:48 PM,"2,155",4,15,589,176,,REST API,,transportation.data@austintexas.gov,"austin, mobility, re-timing, traffic signals, transit, transportation",true
dmax-77hs,Slaughter Lane Preliminary Mobility Recommendations,Landing page for the preliminary mobility recommendations for Slaughter Lane mobility project,https://data.austintexas.gov/d/dmax-77hs,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,02/16/2018 02:56:33 PM,10/31/2017 09:54:47 PM,04/08/2025 11:31:42 AM,02/16/2018 02:56:33 PM,10/31/2017 09:54:48 PM,0,1,3,"2,146",,,,,TPW Legacy CPO (Transportation Public Works),,true
j6e8-jx53,Project Explorer FAQ,Frequently asked questions about the Project Explorer tool.,https://data.austintexas.gov/d/j6e8-jx53,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,04/11/2018 04:17:06 PM,06/07/2017 05:29:42 PM,04/08/2025 11:31:44 AM,04/11/2018 04:17:06 PM,06/07/2017 05:29:43 PM,0,1,2,"1,984",,,,,TPW Legacy CPO (Transportation Public Works),,true
cei7-ejfs,District 1 Safe Routes Improvement Projects,"Through the 2016 and 2018 Mobility Bonds, the City of Austin's Safe Routes to School Program is developing projects identified in the District 1 Infrastructure Report to help students walk and bike to school.",https://data.austintexas.gov/d/cei7-ejfs,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Safe Routes to School,,Mobility,04/06/2022 09:31:04 PM,04/24/2019 03:05:07 PM,04/08/2025 11:31:45 AM,04/06/2022 09:31:04 PM,04/25/2019 10:52:26 AM,0,1,2,"1,386",,,,,TPW Safe Routes to School Data Owners,"mobility bonds, safe routes",true
8hbe-tjhr,District 6 Safe Routes Improvement Projects,"Through the 2016 and 2018 Mobility Bonds, the City of Austin's Safe Routes to School Program is developing projects identified in the District 6 Infrastructure Report to help students walk and bike to school.",https://data.austintexas.gov/d/8hbe-tjhr,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Safe Routes to School,,Mobility,03/03/2022 01:28:44 PM,04/24/2019 05:42:32 PM,04/08/2025 11:31:47 AM,03/03/2022 01:28:44 PM,04/25/2019 11:07:12 AM,0,1,3,"1,278",,,,,TPW Safe Routes to School Data Owners,"mobility bonds, safe routes",true
47xm-pia5,Bradshaw Road,"Plans to improve two substandard streets in Southeast Austin are advancing to the next phase of development, and community feedback will help shape the final designs for both projects.",https://data.austintexas.gov/d/47xm-pia5,"City of Austin, Texas - data.austintexas.gov",story,As Needed,Transportation and Public Works,,,,02/11/2025 12:55:28 PM,09/22/2022 10:29:37 AM,04/08/2025 11:31:48 AM,02/11/2025 12:55:28 PM,09/28/2022 02:29:44 PM,0,1,2,56,,,,,TPW PIO Data Owners (Transportation Public Works),,true
gvhg-f5d9,NOLAENVSp,Landing page for the North Lamar Boulevard mobility project - Spanish,https://data.austintexas.gov/d/gvhg-f5d9,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,08/11/2023 08:28:51 AM,04/20/2020 03:56:47 PM,04/08/2025 11:31:50 AM,08/11/2023 08:28:51 AM,04/22/2020 12:26:13 PM,0,1,4,"1,756",,,,,TPW Legacy CPO (Transportation Public Works),,true
4r2j-b4rx,Dynamic Message Signs (DMS),"This dataset contains information on the handful of dynamic message signs (DMS) deployed across the City of Austin. The data is updated every hour and is maintained by the Arterial Management Division of the City of Austin Transportation and Public Works Department. 

We do not retain any historical data pertaining to these assets. The asset updates once an hour and the messaging may change more than once during that window. Should connectivity issues occur, the signs may still display old messages that differ from the ones reflected in this dataset. 

This dataset is currently under active development and is subject to change at any time. Please note that it may contain incomplete or inaccurate information.

For Austin area dynamic messages signs maintained by Texas Department of Transportation (TxDOT), see https://its.txdot.gov/its/District/AUS/dms-messages",https://data.austintexas.gov/d/4r2j-b4rx,"City of Austin, Texas - data.austintexas.gov",dataset,Multiple per day,Transportation and Public Works,Arterial Management Division,Latitude and longitude of the dynamic message signs,Safety,04/11/2025 03:24:15 AM,09/14/2017 01:33:36 PM,04/08/2025 11:31:51 AM,04/11/2025 03:24:15 AM,03/30/2021 03:50:16 PM,"2,827",0,5,767,20,,SodaPY,,transportation.data@austintexas.gov,"amd, arterial management, division, dms, dynamic message sign, public works, safety, signs, tpw, transportation",true
64d9-7zfi,East 12th Street,"The Austin Transportation and Public Works Department (TPW) is working to improve the safety and comfort of people traveling, living, shopping, playing and celebrating along East 12th Street between Navasota Street and Webberville Road.",https://data.austintexas.gov/d/64d9-7zfi,City of Austin Texas - data.austintexas.gov,story,As needed,Transportation and Public Works,,,,01/16/2024 03:22:43 PM,05/04/2023 09:57:24 AM,04/08/2025 11:31:55 AM,01/16/2024 03:22:43 PM,05/04/2023 10:25:48 AM,0,1,2,116,,,,,TPW PIO Data Owners (Transportation Public Works),,true
